Credits,Player Type,Player Name,Team_x,MatchID,Stadium,Runs,Balls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras
9.0,BOWL,Adam Zampa,AUS,4310.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4313.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,3.344262295081967,34,61,2,0,0,0,6
9.0,BOWL,Adam Zampa,AUS,4111.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0.0,5.699999999999999,57,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3792.0,St George's Park,5,4,1,125.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3792.0,St George's Park,0,0,0,0.0,4.923076923076923,32,39,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3792.0,St George's Park,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4379.0,"Gaddafi Stadium, Lahore",0,0,0,0.0,3.67741935483871,38,62,4,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,4380.0,"Gaddafi Stadium, Lahore",0,1,0,0.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4380.0,"Gaddafi Stadium, Lahore",0,0,0,0.0,7.199999999999999,72,60,2,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4382.0,"Gaddafi Stadium, Lahore",0,9,0,0.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4382.0,"Gaddafi Stadium, Lahore",0,0,0,0.0,5.555555555555555,50,54,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4311.0,"Kensington Oval, Bridgetown, Barbados",36,63,1,57.14285714285714,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4311.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,4.777777777777778,43,54,2,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4458.0,"Tony Ireland Stadium, Townsville",0,0,0,0.0,5.428571428571429,57,63,3,0,0,0,3
9.0,BOWL,Adam Zampa,AUS,4458.0,"Tony Ireland Stadium, Townsville",0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4459.0,"Tony Ireland Stadium, Townsville",0,0,0,0.0,5.478260869565217,21,23,3,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4460.0,"Riverway Stadium, Townsville",1,6,0,16.666666666666664,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4460.0,"Riverway Stadium, Townsville",0,0,0,0.0,4.408163265306123,36,49,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,4461.0,"Cazaly's Stadium, Cairns",13,14,0,92.85714285714286,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4461.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,4.0,40,60,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,4461.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4462.0,"Cazaly's Stadium, Cairns",16,22,1,72.72727272727273,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4462.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,3.8181818181818175,35,55,5,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4462.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4464.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,5.213114754098361,53,61,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4475.0,Adelaide Oval,0,0,0,0.0,5.409836065573771,55,61,3,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4477.0,Sydney Cricket Ground,0,0,0,0.0,4.426229508196721,45,61,4,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,4480.0,Melbourne Cricket Ground,0,0,0,0.0,5.470588235294118,31,34,4,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4538.0,"Wankhede Stadium, Mumbai",0,6,1,0.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4538.0,"Wankhede Stadium, Mumbai",0,0,0,0.0,6.162162162162161,38,37,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,4541.0,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,0,0.0,3.0,6,12,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4545.0,"MA Chidambaram Stadium, Chepauk, Chennai",10,11,0,90.9090909090909,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4545.0,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0.0,4.6000000000000005,46,60,4,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3776.0,Pallekele International Cricket Stadium,0,0,0,0.0,6.972972972972972,43,37,2,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3776.0,Pallekele International Cricket Stadium,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4635.0,"Mangaung Oval, Bloemfontein",0,0,0,0.0,4.6000000000000005,46,60,1,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,4638.0,"Mangaung Oval, Bloemfontein",0,0,0,0.0,5.444444444444445,49,54,4,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4646.0,"SuperSport Park, Centurion",9,12,1,75.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4646.0,"SuperSport Park, Centurion",0,0,0,0.0,11.311475409836069,115,61,0,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,4648.0,"The Wanderers Stadium, Johannesburg",5,7,1,71.42857142857143,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4648.0,"The Wanderers Stadium, Johannesburg",0,0,0,0.0,7.1,71,60,3,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4651.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,2,1,100.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4651.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,0,0,0.0,5.699999999999999,57,60,3,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4654.0,"Holkar Cricket Stadium, Indore",5,5,1,100.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4654.0,"Holkar Cricket Stadium, Indore",0,0,0,0.0,6.7,67,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4662.0,"MA Chidambaram Stadium, Chepauk, Chennai",6,22,1,27.27272727272727,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4662.0,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0.0,6.625,53,48,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4671.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,0,0.0,5.64,47,50,4,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,4675.0,"M Chinnaswamy Stadium, Bengaluru",1,2,0,50.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4675.0,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0.0,5.409836065573771,55,61,4,0,0,0,3
9.0,BOWL,Adam Zampa,AUS,4667.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",11,16,0,68.75,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4667.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,0,0.0,6.885245901639344,70,61,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4681.0,"Arun Jaitley Stadium, Delhi",1,1,0,100.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4681.0,"Arun Jaitley Stadium, Delhi",0,0,0,0.0,2.6666666666666665,8,18,4,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4684.0,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,3,1,0.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4684.0,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,0,0,0.0,7.4,74,60,3,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4693.0,"Narendra Modi Stadium, Ahmedabad",29,19,1,152.63157894736844,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4693.0,"Narendra Modi Stadium, Ahmedabad",0,0,0,0.0,2.129032258064516,22,62,3,0,0,0,3
9.0,BOWL,Adam Zampa,AUS,4693.0,"Narendra Modi Stadium, Ahmedabad",0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4700.0,"Maharashtra Cricket Association Stadium, Pune",0,0,0,0.0,3.3000000000000003,33,60,2,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4704.0,"Eden Gardens, Kolkata",0,0,0,0.0,7.857142857142858,55,42,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4705.0,"Narendra Modi Stadium, Ahmedabad",0,0,0,0.0,4.327868852459017,44,61,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,4705.0,"Narendra Modi Stadium, Ahmedabad",0,0,0,0.0,0.0,0,0,0,1,0,0,0
