Credits,Player Type,Player Name,Team_x,Unnamed: 0,MatchID,Stadium,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
9.0,BOWL,Adam Zampa,AUS,26356,4380.0,"Gaddafi Stadium, Lahore",0,0,0,0.0,7.199999999999999,72,60,2,0,0,0,1,0,0,10,0,47
9.0,BOWL,Adam Zampa,AUS,26377,4382.0,"Gaddafi Stadium, Lahore",0,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
9.0,BOWL,Adam Zampa,AUS,26388,4382.0,"Gaddafi Stadium, Lahore",0,0,0,0.0,5.555555555555555,50,54,0,0,0,0,0,0,0,9,0,1
9.0,BOWL,Adam Zampa,AUS,29686,4458.0,"Tony Ireland Stadium, Townsville",0,0,0,0.0,5.428571428571429,57,63,3,0,0,0,3,0,0,10,0,80
9.0,BOWL,Adam Zampa,AUS,29696,4458.0,"Tony Ireland Stadium, Townsville",0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,29722,4459.0,"Tony Ireland Stadium, Townsville",0,0,0,0.0,5.478260869565217,21,23,3,0,0,0,0,0,0,3,0,80
9.0,BOWL,Adam Zampa,AUS,29745,4460.0,"Riverway Stadium, Townsville",1,6,0,16.666666666666664,0.0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,29766,4460.0,"Riverway Stadium, Townsville",0,0,0,0.0,4.408163265306123,36,49,0,0,0,0,5,0,0,8,0,3
9.0,BOWL,Adam Zampa,AUS,29797,4461.0,"Cazaly's Stadium, Cairns",9,14,0,64.28571428571429,0.0,0,0,0,0,0,0,0,1,0,0,0,8
9.0,BOWL,Adam Zampa,AUS,29800,4461.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,4.0,40,60,1,0,0,0,2,0,0,10,0,28
9.0,BOWL,Adam Zampa,AUS,29813,4461.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
